selling_price,km_driven,seller_type,transmission,owner,mileage,engine,max_power,seats
595000,40000,Individual,Manual,First Owner,20.85,1197,83.14,5
440000,35000,Individual,Manual,First Owner,20.51,998,67.04,5
350000,25000,Individual,Manual,First Owner,23.01,999,67,5
360000,40000,Individual,Manual,Second Owner,23.1,998,67.04,5
105000,65000,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
135000,80000,Individual,Manual,Second Owner,17.92,1086,62.1,5
4100000,17000,Individual,Automatic,First Owner,9.5,3604,280,5
375000,49000,Individual,Manual,First Owner,15.04,1598,103.6,5
550000,95000,Individual,Manual,First Owner,16.3,1797,147.5,5
850000,20000,Individual,Manual,First Owner,17.5,1373,91.1,7
10000000,30000,Individual,Automatic,First Owner,42,1969,400,4
575000,9500,Individual,Manual,First Owner,18.16,1196,86.8,5
515000,36600,Individual,Manual,First Owner,20.4,1197,81.8,5
390000,50000,Individual,Automatic,Second Owner,20.51,998,67,5
550000,14000,Individual,Manual,Second Owner,18.6,1197,81.83,5
40000,40000,Individual,Manual,Second Owner,16.1,796,37,4
425000,70000,Individual,Manual,First Owner,18.9,1197,82,5
480000,13000,Individual,Manual,First Owner,19.44,999,75,5
400000,60000,Individual,Manual,Second Owner,18.9,1197,82,5
487000,35000,Individual,Manual,First Owner,19.1,1197,85.8,5
386000,44000,Individual,Manual,Second Owner,19.1,1197,82,5
100000,120000,Individual,Manual,Second Owner,13,1493,100,5
100000,60000,Individual,Manual,First Owner,18.5,796,53,5
450000,15000,Individual,Manual,Second Owner,18.15,1198,82,6
345000,47000,Individual,Manual,Second Owner,17,1497,118,5
85000,90000,Individual,Manual,First Owner,17.3,993,60,5
215000,120600,Individual,Manual,Second Owner,18.9,998,67.1,5
320000,100000,Individual,Manual,Third Owner,16.2,1599,103.2,5
459999,60000,Individual,Manual,Second Owner,20.85,1197,83.14,5
65000,86000,Individual,Manual,First Owner,15.3,1341,83,5
720000,5000,Individual,Manual,First Owner,18.6,1197,81.86,5
520000,14000,Individual,Manual,First Owner,20.3,1199,84,5
600000,50000,Individual,Manual,First Owner,17.4,1497,117.3,5
290000,60000,Individual,Manual,Second Owner,19.4,1198,86.8,5
550000,50000,Individual,Manual,First Owner,20.85,1197,83.14,5
375000,70000,Individual,Manual,First Owner,18.5,1197,82.85,5
40000,90000,Individual,Manual,Second Owner,NA,NA,NA,NA
420000,35000,Individual,Automatic,First Owner,20.51,998,67,5
550000,20000,Individual,Manual,First Owner,21.21,1197,81.8,5
270000,20000,Individual,Manual,First Owner,24.7,796,47.3,5
700000,7800,Individual,Automatic,First Owner,22,1197,81.8,5
500000,20000,Individual,Manual,First Owner,20.4,1197,81.8,5
320000,31377,Individual,Manual,Second Owner,18.5,1197,82.85,5
290000,60000,Individual,Manual,First Owner,20.51,998,67.04,5
550000,100000,Individual,Automatic,First Owner,14.53,1794,138.1,5
265000,60000,Individual,Manual,First Owner,19.4,1198,86.8,5
830000,5000,Individual,Automatic,First Owner,21.4,1197,83.1,5
160000,25000,Individual,Manual,Second Owner,19.7,796,46.3,5
335000,30000,Individual,Manual,First Owner,25.17,799,53.3,5
329000,80000,Individual,Manual,Second Owner,20.63,1198,67,5
524000,32000,Individual,Manual,First Owner,20.14,1197,81.86,5
245000,40000,Individual,Manual,First Owner,22.74,796,47.3,5
275000,93000,Individual,Manual,Second Owner,17,1197,80,5
520000,60000,Individual,Manual,First Owner,17.57,1193,88.7,5
130000,120000,Individual,Manual,Second Owner,NA,NA,NA,NA
550000,37000,Individual,Manual,First Owner,16.95,1498,97.7,5
910000,15000,Individual,Manual,First Owner,17,1497,121.36,5
300000,80000,Individual,Manual,First Owner,19.49,1198,67.04,5
350000,140000,Individual,Manual,First Owner,20.51,998,67.04,5
270000,44000,Individual,Manual,First Owner,25.17,799,53.3,5
409999,13500,Individual,Manual,First Owner,15.37,1196,73,5
165000,75000,Individual,Manual,First Owner,17.92,1086,62.1,5
80000,120000,Individual,Manual,Second Owner,13.2,1495,94,5
680000,15000,Individual,Automatic,First Owner,19,1199,88.76,5
200000,53000,Individual,Manual,Second Owner,20.36,1197,78.9,5
110000,120000,Individual,Manual,Second Owner,14.2,1341,82.9,5
320000,100000,Individual,Manual,Second Owner,18.5,1197,80,5
350000,100000,Individual,Manual,First Owner,20.4,1197,83.11,5
350000,90000,Individual,Automatic,Second Owner,17.97,1498,99.6,5
610000,2000,Individual,Manual,First Owner,18.6,1197,81.86,5
525000,20000,Individual,Manual,First Owner,20.85,1197,83.14,5
375000,80000,Individual,Manual,First Owner,20.4,1197,81.8,5
300000,40000,Individual,Manual,First Owner,19.02,1198,67.05,5
380000,40000,Individual,Manual,First Owner,17.57,1193,88.7,5
114999,95200,Individual,Manual,Third Owner,13.2,1495,94,5
110000,45000,Individual,Manual,Second Owner,19.7,796,46.3,5
220000,35000,Individual,Manual,First Owner,16.8,796,34.2,8
450000,35000,Individual,Manual,First Owner,18.9,1197,82,5
450000,35000,Individual,Manual,First Owner,18.9,1197,82,5
290000,50000,Individual,Automatic,First Owner,16.95,1197,78.9,5
520000,20000,Individual,Manual,First Owner,20.4,1197,81.8,5
265000,20000,Individual,Automatic,First Owner,16.95,1197,78.9,5
330000,50000,Individual,Manual,Second Owner,18.6,1197,85.8,5
330000,50000,Individual,Manual,Second Owner,18.6,1197,85.8,5
500000,70000,Individual,Manual,First Owner,17.1,1591,121.3,5
525000,50000,Individual,Manual,First Owner,17.19,1197,81.86,5
675000,16500,Individual,Manual,First Owner,21.01,1197,81.8,5
300000,70000,Individual,Manual,First Owner,17,1197,80,5
90000,99361,Individual,Manual,Second Owner,19.7,796,46.3,5
409000,70000,Individual,Manual,Second Owner,19.1,1197,85.8,5
215000,70000,Individual,Manual,Second Owner,NA,NA,NA,NA
400000,70000,Individual,Manual,Second Owner,19.1,1197,85.8,5
120000,60000,Individual,Manual,Third Owner,18.6,1199,79.4,5
645000,10000,Individual,Automatic,First Owner,20.3,1199,84,5
81000,80000,Individual,Manual,First Owner,16.1,796,37,4
535000,90000,Individual,Manual,Third Owner,16.02,1373,93.7,7
725000,120000,Individual,Manual,First Owner,17.4,1497,117.3,5
229999,40000,Individual,Manual,First Owner,25.17,799,53.3,5
409999,47000,Individual,Manual,First Owner,20.51,998,67.04,5
400000,26000,Individual,Manual,First Owner,23.84,1199,84,5
650000,50000,Individual,Automatic,First Owner,21.4,1197,83.1,5
325000,58000,Individual,Manual,Third Owner,16.1,1298,88.2,5
420000,120000,Individual,Automatic,First Owner,17.4,1197,85.8,5
400000,50000,Individual,Manual,First Owner,20.4,1197,81.8,5
254999,80000,Individual,Manual,Fourth & Above Owner,17,1197,80,5
65000,60000,Individual,Manual,Fourth & Above Owner,17.3,993,60,5
351000,36000,Individual,Manual,First Owner,23.1,998,67.04,5
60000,100000,Individual,Manual,Fourth & Above Owner,17.3,993,60,5
500000,50000,Individual,Manual,Second Owner,17.1,1591,121.3,5
85000,80000,Individual,Manual,Second Owner,18.2,998,67.1,5
85000,60000,Individual,Manual,Second Owner,NA,NA,NA,NA
85000,80000,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
130000,162000,Individual,Manual,Second Owner,19,998,66.1,5
89000,90000,Individual,Manual,Second Owner,18.9,998,67.1,5
150000,50000,Individual,Manual,Second Owner,15.64,1193,64.08,5
65000,35000,Individual,Manual,First Owner,18.9,998,67.1,5
140000,70000,Individual,Manual,Fourth & Above Owner,20.36,1197,78.9,5
300000,30000,Individual,Manual,First Owner,25.17,799,53.3,5
800000,70000,Individual,Automatic,First Owner,16.34,1798,189.3,5
150000,106000,Individual,Manual,Third Owner,20.36,1197,78.9,5
500000,120000,Individual,Automatic,Second Owner,11.1,2354,158.8,5
340000,214000,Individual,Manual,Second Owner,13.9,1599,103.2,5
240000,50000,Individual,Manual,First Owner,22.74,796,47.3,5
1085000,1000,Individual,Automatic,First Owner,18,1497,117.6,5
215000,80000,Individual,Manual,Second Owner,23.95,998,67.05,5
150000,80000,Individual,Manual,First Owner,20.92,998,67.1,5
219000,50000,Individual,Manual,Second Owner,21.1,814,55.2,5
325000,100000,Individual,Manual,First Owner,23.84,1199,84,5
260000,120000,Individual,Manual,Second Owner,15.1,1196,73,5
160000,80000,Individual,Manual,Second Owner,19.7,796,46.3,5
130000,40000,Individual,Manual,First Owner,16.1,796,37,4
81000,80000,Individual,Manual,Second Owner,16.1,796,37,4
409999,93000,Individual,Manual,First Owner,19.1,1197,81.86,5
120000,70000,Individual,Manual,Second Owner,16.1,796,37,4
320000,50000,Individual,Manual,First Owner,23.1,998,67.04,5
550000,44000,Individual,Manual,First Owner,18.16,1196,86.8,5
385000,25000,Individual,Manual,First Owner,23.1,998,67.04,5
800000,25000,Individual,Manual,First Owner,15.29,1591,121.3,5
675000,10000,Individual,Manual,First Owner,21.21,1197,81.8,5
434999,50000,Individual,Manual,Second Owner,20.4,1197,83.11,5
350000,2136,Individual,Manual,First Owner,22.5,999,67,5
600000,35000,Individual,Manual,First Owner,18.6,1197,81.83,5
370000,35000,Individual,Manual,First Owner,19.49,1198,67.04,5
610000,21000,Individual,Manual,First Owner,16.02,1373,93.7,7
229999,50000,Individual,Manual,First Owner,19.81,1086,68.05,5
200000,65000,Individual,Manual,Second Owner,19,998,66.1,5
200000,80000,Individual,Manual,First Owner,18.9,998,67.1,5
760000,20000,Individual,Manual,First Owner,17.01,1591,121.4,5
500000,60000,Individual,Manual,First Owner,20.14,1197,81.86,5
425000,22000,Individual,Manual,First Owner,18.5,1198,86.8,5
250000,25000,Individual,Manual,First Owner,22.74,796,47.3,5
160000,123000,Individual,Manual,Third Owner,17.5,1298,85.8,5
170000,70000,Individual,Manual,Second Owner,18.6,1199,79.4,5
400000,40000,Individual,Automatic,First Owner,18.9,1197,82,5
350000,90000,Individual,Automatic,First Owner,12.9,1799,130,5
660000,34000,Individual,Manual,Second Owner,17.5,1373,91.1,7
268000,25000,Individual,Manual,First Owner,24.7,796,47.3,5
270000,50000,Individual,Manual,First Owner,22.74,796,47.3,5
450000,90000,Individual,Manual,First Owner,23.84,1199,84,5
300000,85000,Individual,Manual,Second Owner,15.6,1196,70,5
235000,25000,Individual,Manual,First Owner,22.7,799,53.64,5
165000,90000,Individual,Manual,First Owner,20.92,998,67.1,5
540000,38000,Individual,Manual,First Owner,18.6,1197,81.83,5
180000,60000,Individual,Manual,First Owner,21.1,814,55.2,5
270000,100000,Individual,Manual,Third Owner,15.37,1196,73,7
450000,30000,Individual,Manual,First Owner,17.5,1197,85.8,5
450000,30000,Individual,Manual,First Owner,19.1,1197,85.8,5
200000,50000,Individual,Manual,First Owner,18.6,1199,76.8,5
425000,42000,Individual,Manual,First Owner,23.84,1199,84,5
400000,30000,Individual,Manual,First Owner,18.2,1199,82.4,5
125000,60000,Individual,Manual,Third Owner,19.7,796,46.3,5
900000,22000,Individual,Manual,First Owner,17.4,1497,117.3,5
210000,46000,Individual,Manual,First Owner,20.92,998,67.1,5
801000,20000,Individual,Manual,First Owner,18.6,1197,81.83,5
600000,40000,Individual,Manual,Second Owner,16.02,1373,93.7,7
330000,30000,Individual,Manual,Second Owner,18.5,1197,82.85,5
320000,15000,Individual,Manual,Second Owner,21.1,814,55.2,5
160000,50000,Individual,Manual,First Owner,NA,NA,NA,NA
120000,110000,Individual,Manual,Second Owner,15.3,1341,83,5
130000,70000,Individual,Manual,Second Owner,19.7,796,46.3,5
220000,80000,Individual,Manual,First Owner,18.2,1199,82.4,5
340000,110000,Individual,Manual,First Owner,17.57,1193,88.7,5
140000,50000,Individual,Manual,Second Owner,19.7,796,46.3,5
236000,60000,Individual,Manual,First Owner,22.74,796,47.3,5
390000,40000,Individual,Manual,First Owner,20.51,998,67.04,5
570000,25000,Individual,Manual,First Owner,18.6,1197,81.83,5
580000,32000,Individual,Manual,First Owner,18.9,1197,81.86,5
484999,30000,Individual,Manual,First Owner,18.7,1199,88.7,5
325000,50000,Individual,Automatic,First Owner,19.34,1198,76,5
550000,14200,Individual,Manual,First Owner,18.16,1196,86.8,5
300000,10000,Individual,Manual,First Owner,21.1,814,55.2,5
217000,25000,Individual,Manual,First Owner,22.7,799,53.64,5
700000,19100,Individual,Manual,First Owner,19,1194,94.68,5
466000,25000,Individual,Automatic,Fourth & Above Owner,20.3,1086,68,5
500000,20000,Individual,Manual,Second Owner,18.9,1197,81.86,5
120000,120000,Individual,Manual,Third Owner,18.9,998,67.1,5
204999,97500,Individual,Manual,First Owner,NA,NA,0,NA
204999,97500,Individual,Manual,First Owner,NA,NA,0,NA
250000,50000,Individual,Manual,Second Owner,24.7,796,47.3,5
210000,76000,Individual,Manual,Fourth & Above Owner,20.36,1197,78.9,5
730000,1500,Individual,Manual,First Owner,21.21,1197,81.8,5
400000,40000,Individual,Manual,First Owner,20.51,998,67.04,5
280000,60000,Individual,Manual,Second Owner,21.1,814,55.2,5
555000,20000,Individual,Manual,Second Owner,15.8,1499,110,5
580000,30000,Individual,Automatic,First Owner,18.9,1197,81.86,5
200000,80000,Individual,Manual,First Owner,19.81,1086,68.05,5
350000,25000,Individual,Manual,First Owner,23.01,999,67,5
200000,24000,Individual,Manual,First Owner,22.74,796,47.3,5
550000,10000,Individual,Manual,First Owner,24,1199,83.81,5
220000,40000,Individual,Manual,First Owner,16.8,796,34.2,8
196000,110000,Individual,Manual,First Owner,18.9,998,67.1,5
135000,80000,Individual,Manual,Second Owner,19.81,1086,68.05,5
299000,16500,Individual,Manual,First Owner,17.57,1193,88.7,5
300000,30000,Individual,Manual,First Owner,23.95,998,67.05,5
300000,25000,Individual,Manual,First Owner,23.95,998,67.05,5
260000,60000,Individual,Manual,First Owner,25.17,799,53.3,5
275000,100000,Individual,Automatic,Second Owner,9,2997,218,5
250000,52000,Individual,Manual,First Owner,23.95,998,67.05,5
235000,50000,Individual,Manual,First Owner,21.1,814,55.2,5
360000,25000,Individual,Manual,First Owner,23.95,998,67.05,5
350000,80000,Individual,Manual,First Owner,20.51,998,67.04,5
270000,40000,Individual,Manual,First Owner,18.9,998,67.1,5
135000,28900,Individual,Manual,Second Owner,0,1172,65,5
275000,20000,Individual,Manual,First Owner,18.9,998,67.1,5
235000,98500,Individual,Manual,Second Owner,19,998,66.1,5
275000,98000,Individual,Manual,Third Owner,20.36,1197,78.9,5
215000,90000,Individual,Manual,Third Owner,19.7,796,46.3,5
350000,80000,Individual,Manual,Second Owner,19.1,1197,82,5
535000,21000,Individual,Manual,Second Owner,18.15,1198,82,6
455000,100000,Individual,Manual,Second Owner,19,1197,85.8,5
655000,25000,Individual,Manual,First Owner,21.21,1197,81.8,5
1100000,25000,Individual,Automatic,First Owner,17.8,1496,105.5,5
340000,51492,Individual,Manual,First Owner,18.15,1198,82,6
370000,60000,Individual,Manual,First Owner,18.16,1196,86.8,5
238000,60000,Individual,Manual,First Owner,17.92,1086,62.1,5
72000,110000,Individual,Manual,Second Owner,NA,NA,NA,NA
200000,90000,Individual,Manual,First Owner,17.92,1086,62.1,5
114999,90000,Individual,Manual,Fourth & Above Owner,17.92,1086,62.1,5
320000,50000,Individual,Manual,Second Owner,20.51,998,67.04,5
210000,20000,Individual,Manual,First Owner,19.81,1086,68.05,5
135000,150000,Individual,Manual,Second Owner,18.9,1061,67,5
300000,50000,Individual,Manual,First Owner,23.01,999,67,5
225000,80000,Individual,Manual,Second Owner,18.9,998,67.1,5
290000,17000,Individual,Manual,First Owner,21.1,814,55.2,5
100000,180000,Individual,Manual,Second Owner,19,998,67.1,5
395000,50000,Individual,Manual,First Owner,23.1,998,67.04,5
195000,65000,Individual,Manual,Second Owner,21.1,814,55.2,5
45000,10000,Individual,Manual,Third Owner,26,624,35,4
600000,10000,Individual,Manual,First Owner,18.6,1197,81.86,5
325000,70000,Individual,Automatic,Second Owner,10.1,2354,152,5
385000,30000,Individual,Manual,First Owner,20.63,1198,67.06,5
300000,40000,Individual,Manual,First Owner,18.15,1198,82,6
300000,35000,Individual,Manual,First Owner,23.1,998,67.04,5
80000,120000,Individual,Manual,Second Owner,13.2,1495,94,5
350000,25000,Individual,Manual,Second Owner,16.95,1498,97.7,5
500000,10000,Individual,Manual,First Owner,20.14,1197,81.86,5
700000,6000,Individual,Manual,First Owner,19,1194,94.68,5
531000,20000,Individual,Automatic,First Owner,18.9,1197,81.86,5
300000,35000,Individual,Manual,First Owner,23.01,999,67,5
150000,68000,Individual,Manual,Fourth & Above Owner,18.6,1199,79.4,5
450000,30000,Individual,Manual,First Owner,20.4,1197,81.8,5
140000,65000,Individual,Manual,Third Owner,NA,NA,NA,NA
450000,30000,Individual,Manual,First Owner,18.9,1197,81.86,5
170000,55113,Individual,Manual,First Owner,NA,NA,NA,NA
390000,6000,Individual,Manual,First Owner,23.95,998,67.05,5
145000,50000,Individual,Manual,Second Owner,15.37,1196,73,7
565000,80000,Individual,Manual,First Owner,18.16,1196,86.8,5
50000,80000,Individual,Manual,Second Owner,NA,NA,NA,NA
180000,80000,Individual,Manual,Second Owner,21.1,814,55.2,5
200000,80000,Individual,Manual,Second Owner,21.1,814,55.2,5
85000,150000,Individual,Manual,Second Owner,19.7,796,46.3,5
600000,20000,Individual,Manual,First Owner,18.9,1197,81.86,5
490000,80000,Individual,Manual,First Owner,17.8,1198,86.7,5
298000,70000,Individual,Manual,First Owner,23.95,998,67.05,5
80000,110000,Individual,Manual,Second Owner,NA,NA,NA,NA
400000,60000,Individual,Automatic,Second Owner,NA,NA,NA,NA
500000,20000,Individual,Manual,First Owner,18.9,1197,82,5
681000,10000,Individual,Manual,First Owner,19,1194,94.68,5
80000,70000,Individual,Manual,Second Owner,15.26,1150,74.9,5
120000,90000,Individual,Manual,Second Owner,0,1086,62,5
229999,80000,Individual,Manual,First Owner,22.7,799,53,5
500000,45000,Individual,Manual,First Owner,19.1,1197,85.8,5
720000,10000,Individual,Manual,First Owner,19,1194,94.68,5
100000,51000,Individual,Manual,First Owner,16.1,796,37,4
250000,105000,Individual,Automatic,Second Owner,12.9,1799,130,5
165000,30000,Individual,Manual,Third Owner,19.7,796,46.3,5
300000,15000,Individual,Manual,First Owner,20.62,1198,67,7
400000,60000,Individual,Manual,First Owner,23.01,999,67,5
430000,5000,Individual,Manual,First Owner,20.51,998,67.04,5
573000,30000,Individual,Manual,First Owner,20.4,1197,81.8,5
210000,40000,Individual,Manual,First Owner,21.1,814,55.2,5
150000,70000,Individual,Manual,Third Owner,17.7,1497,78,5
550000,15000,Individual,Manual,First Owner,20.3,1199,84,5
80000,70000,Individual,Manual,Fourth & Above Owner,16.1,796,37,4
500000,60000,Individual,Manual,First Owner,16.02,1373,93.7,7
500000,60000,Individual,Manual,First Owner,16.02,1373,93.7,7
630000,35000,Individual,Manual,First Owner,18.6,1197,81.83,5
190000,70000,Individual,Manual,Second Owner,16.8,796,34.2,8
95000,120000,Individual,Manual,First Owner,19.7,796,46.3,5
101000,90000,Individual,Manual,Fourth & Above Owner,19.7,796,35,8
244000,38000,Individual,Manual,First Owner,21.1,814,55.2,5
250000,90000,Individual,Manual,Second Owner,20.51,998,67.04,5
660000,60000,Individual,Manual,First Owner,21.4,1197,83.1,5
270000,60000,Individual,Manual,First Owner,18.5,1197,80,5
525000,70000,Individual,Manual,First Owner,20.85,1197,83.14,5
345000,50000,Individual,Manual,Second Owner,18.6,1197,85.8,5
95000,100000,Individual,Manual,Second Owner,17.8,1086,63,5
241000,15000,Individual,Manual,First Owner,22.74,796,47.3,5
235000,20000,Individual,Manual,First Owner,22.74,796,47.3,5
350000,35000,Individual,Manual,First Owner,20.51,998,67.04,5
380000,35000,Individual,Manual,First Owner,20.51,998,67.04,5
220000,40000,Individual,Manual,First Owner,19,998,67.1,5
275000,70000,Individual,Manual,Second Owner,18.5,1197,85.8,5
360000,20000,Individual,Manual,First Owner,19.81,1086,68.05,5
550000,15000,Individual,Manual,First Owner,18.9,1197,81.86,5
200000,70000,Individual,Manual,Second Owner,16.6,1388,68,5
327000,20000,Individual,Manual,First Owner,18.15,1198,82,6
425000,15000,Individual,Manual,First Owner,19.81,1086,68.05,5
120000,58000,Individual,Manual,First Owner,19.7,796,46.3,5
204999,43000,Individual,Manual,Second Owner,20.3,998,68.05,5
150000,150000,Individual,Manual,First Owner,12.8,1396,85,5
300000,35000,Individual,Manual,First Owner,23.01,999,67,5
229999,46000,Individual,Manual,First Owner,18.2,1199,84.8,5
220000,10000,Individual,Manual,First Owner,16.8,796,34.2,8
576000,35000,Individual,Manual,First Owner,18.6,1197,81.83,5
265000,50000,Individual,Manual,First Owner,25.17,799,53.3,5
50000,60000,Individual,Manual,Third Owner,NA,NA,NA,NA
290000,28000,Individual,Manual,First Owner,25.17,799,53.3,5
160000,57000,Individual,Manual,First Owner,21.1,814,55.2,5
400000,70000,Individual,Manual,First Owner,18.5,1197,82.85,5
500000,40000,Individual,Manual,First Owner,18.6,1197,81.83,5
350000,25000,Individual,Manual,First Owner,23.1,998,67.04,5
580000,12000,Individual,Manual,First Owner,20,999,72,7
261000,90000,Individual,Manual,First Owner,25.17,799,53.3,5
371000,40000,Individual,Manual,First Owner,18.2,1199,82.4,5
110000,90000,Individual,Manual,Second Owner,13.2,1495,94,5
165000,110000,Individual,Manual,Second Owner,17.7,1497,78,5
750000,30000,Individual,Manual,First Owner,18.6,1197,81.86,5
40000,80000,Individual,Manual,Third Owner,16.1,796,37,4
315000,80000,Individual,Manual,First Owner,17,1197,80,5
580000,32000,Individual,Manual,First Owner,18.9,1197,81.86,5
340000,70000,Individual,Manual,First Owner,18.5,1197,82.85,5
270000,43000,Individual,Manual,First Owner,21.1,814,55.2,5
260000,18945,Individual,Manual,First Owner,21.1,814,55.2,5
204999,100000,Individual,Manual,Third Owner,15.1,1196,73,7
300000,60000,Individual,Manual,First Owner,20.62,1198,67,7
370000,15000,Individual,Manual,First Owner,22.05,796,47.3,5
340000,10000,Individual,Manual,First Owner,25.17,799,53.3,5
1040000,1620,Individual,Manual,First Owner,19.01,1462,103.2,6
450000,10000,Individual,Manual,First Owner,20.3,1086,68,5
199000,60000,Individual,Manual,Second Owner,20.2,998,67.1,5
200000,90000,Individual,Manual,Second Owner,18.9,1061,67,5
90000,90000,Individual,Manual,First Owner,16.1,796,37,4
120000,141000,Individual,Manual,Second Owner,17.3,993,60,5
675000,5000,Individual,Manual,First Owner,21.21,1197,81.8,5
675000,5000,Individual,Manual,First Owner,20,999,72,7
150000,80000,Individual,Manual,Third Owner,15.37,1196,73,5
90000,60000,Individual,Manual,Second Owner,18.2,1061,64,5
675000,5000,Individual,Automatic,First Owner,21.4,1197,83.1,5
150000,91500,Individual,Manual,First Owner,19.7,796,46.3,5
400000,68000,Individual,Manual,First Owner,19.4,1198,86.8,5
65000,85000,Individual,Manual,First Owner,15.3,1341,83,5
200000,94000,Individual,Manual,Third Owner,18.9,998,67.1,5
240000,143000,Individual,Manual,First Owner,17.5,1298,85.8,5
240000,60000,Individual,Manual,First Owner,20.92,998,67.1,5
95000,120000,Individual,Manual,Third Owner,18,995,62,5
1100000,60000,Individual,Manual,First Owner,17,1591,121.3,5
350000,40000,Individual,Manual,First Owner,20.51,998,67.04,5
220000,360003,Individual,Manual,Second Owner,18.9,998,67.1,5
55000,60000,Individual,Manual,Second Owner,16.1,796,37,4
330000,20000,Individual,Manual,First Owner,25.17,799,53.3,5
170000,110000,Individual,Manual,Fourth & Above Owner,13.9,1599,103.2,5
1100000,10000,Individual,Manual,First Owner,17,1591,121.3,5
520000,20000,Individual,Manual,First Owner,23.84,1199,84,5
229999,120000,Individual,Manual,Second Owner,17,1497,118,5
108000,206000,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
425000,40000,Individual,Manual,Second Owner,23.1,998,67.04,5
310000,70000,Individual,Manual,First Owner,19.81,1086,68.05,5
450000,46000,Individual,Manual,Second Owner,19.1,1197,81.86,5
400000,60000,Individual,Manual,First Owner,16.2,1599,103.2,5
120000,90000,Individual,Manual,First Owner,19.7,796,46.3,5
270000,53000,Individual,Manual,Second Owner,22.74,796,47.3,5
650000,6000,Individual,Manual,First Owner,18.15,1198,82,6
600000,10000,Individual,Automatic,First Owner,21.21,1197,81.8,5
290000,21000,Individual,Manual,First Owner,25.17,799,53.3,5
215000,25000,Individual,Manual,First Owner,20.92,998,67.1,5
250000,22000,Individual,Manual,First Owner,25.17,799,53.3,5
250000,20000,Individual,Manual,Second Owner,23.95,998,67.05,5
950000,15000,Individual,Automatic,First Owner,15.4,1497,117.3,7
725000,6550,Individual,Automatic,First Owner,18.2,1199,88.7,5
400000,35000,Individual,Automatic,First Owner,23.1,998,67.04,5
310000,11500,Individual,Manual,First Owner,25.17,799,53.3,5
90000,40000,Individual,Manual,Second Owner,19.7,796,46.3,5
80000,40000,Individual,Manual,Second Owner,19.7,796,46.3,5
340000,40000,Individual,Manual,First Owner,20.51,998,67.04,5
650000,31800,Individual,Manual,First Owner,18.6,1197,81.86,5
300000,65000,Individual,Manual,First Owner,20.36,1197,78.9,5
204999,15000,Individual,Manual,Second Owner,22.74,796,47.3,5
650000,5000,Individual,Manual,First Owner,18.16,1196,86.8,5
280000,50000,Individual,Manual,Second Owner,21.1,814,55.2,5
225000,80000,Individual,Manual,Second Owner,19.81,1086,68.05,5
90000,90000,Individual,Manual,Third Owner,NA,NA,NA,NA
80000,80000,Individual,Automatic,Third Owner,NA,NA,NA,NA
